x,y,p,phi_on_grid
0.111988,0.638525,0.0687538,0.069066
0.124582,0.0,0.0,0.0
0.124582,0.012321,0.00150468,0.0015338
0.124582,0.0246727,0.00301814,0.00306907
0.124582,0.0370551,0.0045247,0.00460578
0.124582,0.0494679,0.00604713,0.00614391
0.124582,0.0619113,0.00754503,0.00768345
0.124582,0.074385,0.00908207,0.00922437
0.124582,0.086889,0.0105689,0.0107667
0.124582,0.0994233,0.0121168,0.0123103
0.124582,0.111988,0.0136174,0.0138552
0.124582,0.124582,0.0151503,0.0154015
0.124582,0.137207,0.0166702,0.0169491
0.124582,0.149861,0.0181941,0.0184979
0.124582,0.162546,0.0197214,0.020048
0.124582,0.17526,0.0212507,0.0215993
0.124582,0.188004,0.0227841,0.0231518
0.124582,0.200777,0.0243106,0.0247056
0.124582,0.213581,0.0258549,0.0262605
0.124582,0.226413,0.0273791,0.0278166
0.124582,0.239276,0.0289318,0.0293738
0.124582,0.252167,0.0304549,0.0309322
0.124582,0.265088,0.032015,0.0324916
0.124582,0.278038,0.0335424,0.0340522
0.124582,0.291018,0.0351071,0.0356139
0.124582,0.304026,0.0366443,0.0371766
0.124582,0.317064,0.038199,0.0387403
0.124582,0.33013,0.0397524,0.0403051
0.124582,0.343226,0.0413014,0.0418709
0.124582,0.35635,0.04287,0.0434377
0.124582,0.369504,0.0444221,0.0450055
0.124582,0.382686,0.0459935,0.0465742
0.124582,0.395896,0.04755,0.0481439
0.124582,0.409136,0.049127,0.0497145
0.124582,0.422404,0.0506853,0.0512861
0.124582,0.4357,0.0522673,0.0528585
0.124582,0.449025,0.0538324,0.0544318
0.124582,0.462378,0.0554203,0.056006
0.124582,0.475759,0.0569982,0.0575811
0.124582,0.489169,0.0585839,0.059157
0.124582,0.502607,0.0601706,0.0607337
0.124582,0.516073,0.0617579,0.0623112
0.124582,0.529568,0.0633469,0.0638896
0.124582,0.54309,0.0649445,0.0654687
0.124582,0.55664,0.0665323,0.0670486
0.124582,0.570218,0.0681404,0.0686292
0.124582,0.583824,0.0697395,0.0702106
0.124582,0.597458,0.0713545,0.0717927
0.124582,0.611119,0.0729628,0.0733755
0.124582,0.624808,0.0745804,0.0749591
0.124582,0.638525,0.0762007,0.0765433
0.137207,0.0,0.0,0.0
0.137207,0.012321,0.00166067,0.0016891
0.137207,0.0246727,0.00331812,0.00337955
0.137207,0.0370551,0.00498927,0.00507133
0.137207,0.0494679,0.00664725,0.0067644
0.137207,0.0619113,0.00832488,0.00845877
0.137207,0.074385,0.00997232,0.0101544
0.137207,0.086889,0.0116628,0.0118513
0.137207,0.0994233,0.0133129,0.0135493
0.137207,0.111988,0.0150009,0.0152486
0.137207,0.124582,0.0166702,0.0169491
0.137207,0.137207,0.0183414,0.0186507
0.137207,0.149861,0.0200233,0.0203534
0.137207,0.162546,0.0216968,0.0220573
0.137207,0.17526,0.0233805,0.0237623
0.137207,0.188004,0.0250621,0.0254683
0.137207,0.200777,0.0267467,0.0271754
0.137207,0.213581,0.0284297,0.0288835
0.137207,0.226413,0.0301242,0.0305927
0.137207,0.239276,0.0318016,0.0323028
0.137207,0.252167,0.033509,0.0340139
0.137207,0.265088,0.0351817,0.035726
0.137207,0.278038,0.0368988,0.0374391
0.137207,0.291018,0.0385814,0.039153
0.137207,0.304026,0.0402912,0.0408679
0.137207,0.317064,0.041989,0.0425836
0.137207,0.33013,0.0436873,0.0443002
0.137207,0.343226,0.0454011,0.0460177
0.137207,0.35635,0.047104,0.047736
0.137207,0.369504,0.048822,0.0494551
0.137207,0.382686,0.0505295,0.051175
0.137207,0.395896,0.0522535,0.0528957
0.137207,0.409136,0.0539595,0.0546171
0.137207,0.422404,0.055694,0.0563393
0.137207,0.4357,0.0573991,0.0580623
0.137207,0.449025,0.0591401,0.0597859
0.137207,0.462378,0.0608587,0.0615102
0.137207,0.475759,0.0625999,0.0632352
0.137207,0.489169,0.0643313,0.0649609
0.137207,0.502607,0.0660687,0.0666872
0.137207,0.516073,0.0678063,0.0684142
0.137207,0.529568,0.0695518,0.0701418
0.137207,0.54309,0.071286,0.0718699
0.137207,0.55664,0.0730426,0.0735987
0.137207,0.570218,0.074785,0.075328
0.137207,0.583824,0.0765485,0.0770579
0.137207,0.597458,0.0783028,0.0787883
0.137207,0.611119,0.0800702,0.0805192
0.137207,0.624808,0.0818378,0.0822507
0.137207,0.638525,0.0836088,0.0839826
0.149861,0.0,0.0,0.0
0.149861,0.012321,0.0018118,0.00184474
0.149861,0.0246727,0.00362666,0.00369067
0.149861,0.0370551,0.00544509,0.00553776
0.149861,0.0494679,0.00726468,0.00738598
0.149861,0.0619113,0.00907757,0.00923532
0.149861,0.074385,0.0109062,0.0110858
0.149861,0.086889,0.0127109,0.0129372
0.149861,0.0994233,0.0145502,0.0147898
0.149861,0.111988,0.016365,0.0166433
0.149861,0.124582,0.0181941,0.0184979
0.149861,0.137207,0.0200233,0.0203534
0.149861,0.149861,0.0218435,0.0222099
0.149861,0.162546,0.0236803,0.0240673
0.149861,0.17526,0.0255086,0.0259257
0.149861,0.188004,0.0273427,0.0277849
0.149861,0.200777,0.0291797,0.029645
0.149861,0.213581,0.0310137,0.0315059
0.149861,0.226413,0.0328522,0.0333676
0.149861,0.239276,0.0346976,0.0352302
0.149861,0.252167,0.0365268,0.0370935
0.149861,0.265088,0.0383865,0.0389576
0.149861,0.278038,0.0402164,0.0408225
0.149861,0.291018,0.0420802,0.042688
0.149861,0.304026,0.0439224,0.0445543
0.149861,0.317064,0.0457735,0.0464212
0.149861,0.33013,0.0476293,0.0482889
0.149861,0.343226,0.0494812,0.0501571
0.149861,0.35635,0.0513444,0.052026
0.149861,0.369504,0.0532052,0.0538955
0.149861,0.382686,0.05507,0.0557655
0.149861,0.395896,0.0569302,0.0576362
0.149861,0.409136,0.0588082,0.0595074
0.149861,0.422404,0.0606623,0.0613791
0.149861,0.4357,0.0625498,0.0632513
0.149861,0.449025,0.0644098,0.065124
0.149861,0.462378,0.0663016,0.0669972
